"";"Kind_ID";"Schulbesuchsjahr";"Klassenstufe";"GB";"Alter";"Geschlecht";"SPF";"LRS";"B_2C";"B_2B";"B_1H";"B_1A";"B_1B";"B_1C";"B_1D";"B_1E";"B_1F";"B_1G";"B_1I";"B_1J";"B_2A";"B_2D";"B_2E";"B_2F";"B_2G";"B_2H";"B_2I";"B_2J";"B_3A";"B_3B";"B_3C";"B_3D";"B_3E";"B_3F";"B_3G";"B_3H";"B_3I";"B_3J";"P_1A";"P_3A";"P_4A";"P_5A";"P_6A";"P_2B";"P_4B";"P_5B";"P_1B";"P_3B";"P_6B";"P_4H";"P_3D";"P_2J";"P_2C";"P_6G";"P_4C";"P_1D";"P_5I";"P_3C";"P_4I";"P_1E";"P_4G";"P_1I";"P_3G";"P_5J";"P_2F";"P_4D";"P_1H";"P_4J";"P_6C";"P_3F";"P_4E";"P_6E";"P_2G";"S_I01";"S_I02";"S_I03";"S_I04";"S_I05";"S_I06";"S_I07";"S_I08";"S_I09";"S_I10";"S_I11";"S_I12";"S_I13";"S_I14";"S_I15";"S_I16";"S_I17";"S_I18";"S_I19";"S_I20";"S_I21";"S_I22";"S_I23";"S_I24";"S_I25";"S_I26";"S_I27";"S_I28";"S_I29";"S_I30";"S_I31";"S_I32";"S_I33";"S_I34";"S_I35";"W_I03";"W_I50";"W_I07";"W_I15";"W_I43";"W_I24";"W_I36";"W_I16";"W_I10";"W_I22";"W_I32";"W_I40";"W_I05";"W_I18";"W_I29";"W_I42";"W_I37";"W_I48";"W_I02";"W_I01";"W_I09";"W_I08";"W_I41";"W_I06";"W_I30";"W_I14";"W_I13";"W_I52";"W_I46";"W_I51";"W_I21";"W_I12";"W_I11";"W_I26";"W_I39";"W_I35";"W_I31";"W_I23";"W_I34";"W_I45";"W_I19";"W_I47";"W_I28";"W_I17";"W_I44";"W_I49";"W_I20";"W_I04";"W_I27";"W_I25";"W_I33";"W_I38";"Sum_1";"Sum_2";"Sum_3";"Sum_4";"Err_1";"Err_2";"Err_3";"Err_4";"All_1";"All_2";"All_3";"All_4"
"11";33145;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34;51;30;31;1;1;0;4;35;52;30;35
"12";33146;4;"4";NA;10;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;52;30;29;3;0;0;2;35;52;30;31
"13";33144;4;"4";NA;8;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;50;30;23;6;2;0;0;35;52;30;23
"14";33147;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34;51;29;18;1;1;1;17;35;52;30;35
"15";33152;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;34;51;30;33;1;1;0;2;35;52;30;35
"16";33151;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;24;46;30;25;2;6;0;3;26;52;30;28
"17";33149;5;"4";NA;10;"1";"3";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;28;41;28;14;7;11;2;2;35;52;30;16
"18";33148;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;29;49;30;18;6;3;0;2;35;52;30;20
"19";33154;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31;52;30;28;4;0;0;2;35;52;30;30
"20";33159;4;"4";NA;10;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;34;48;30;25;1;4;0;10;35;52;30;35
"21";33162;4;"4";NA;9;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;28;52;29;22;5;0;1;4;33;52;30;26
"22";33158;5;"4";NA;10;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;NA;NA;NA;1;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;21;42;29;25;14;10;1;7;35;52;30;32
"23";33155;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;33;50;29;29;2;2;1;6;35;52;30;35
"24";33157;4;"4";NA;9;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;31;48;29;26;4;4;1;9;35;52;30;35
"25";33160;4;"4";NA;10;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;NA;NA;NA;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;31;47;30;22;1;5;0;10;32;52;30;32
"26";33163;4;"4";NA;10;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;33;51;28;33;2;1;2;0;35;52;30;33
"27";33156;4;"4";NA;9;"0";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;30;50;29;31;5;2;1;3;35;52;30;34
"28";33161;4;"4";NA;9;"1";"0";"0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;NA;1;1;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;52;30;16;5;0;0;9;34;52;30;25
"29";33165;4;"4";NA;NA;"1";"0";"0";1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;11;47;28;10;24;5;2;25;35;52;30;35
"30";33173;4;"4";NA;NA;"1";"0";"0";1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;NA;NA;NA;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;20;26;12;11;12;26;18;24;32;52;30;35
"31";33174;4;"4";NA;NA;"0";"0";"0";1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;29;37;28;9;6;15;2;26;35;52;30;35
"32";33168;4;"4";NA;NA;"0";"0";"0";1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;29;49;26;12;6;3;4;9;35;52;30;21
